"Timestamp","Bayern"
2020-01-01,1
2020-01-06,1
2020-03-08,0
2020-04-10,1
2020-04-12,0
2020-04-13,1
2020-05-01,1
2020-05-08,0
2020-05-21,1
2020-05-31,0
2020-06-01,1
2020-06-11,1
2020-08-08,1
2020-08-15,1
2020-09-20,0
2020-10-03,1
2020-10-31,0
2020-11-01,1
2020-11-18,0
2020-12-25,1
2020-12-26,1
2021-01-01,1
2021-01-06,1
2021-03-08,0
2021-04-02,1
2021-04-04,0
2021-04-05,1
2021-05-01,1
2021-05-13,1
2021-05-23,0
2021-05-24,1
2021-06-03,1
2021-08-08,1
2021-08-15,1
2021-09-20,0
2021-10-03,1
2021-10-31,0
2021-11-01,1
2021-11-17,0
2021-12-25,1
2021-12-26,1
